neighbors,time_in_sec
1,0.02
10,0.02
100,0.02
1000,0.06
5000,0.19
10000,0.23
20000,0.26
30000,0.32
35000,0.35
40000,0.37
45000,0.39
1,0.02
10,0.02
100,0.02
1000,0.05
5000,0.19
10000,0.23
20000,0.28
30000,0.32
35000,0.35
40000,0.36
45000,0.38
1,0.02
10,0.02
100,0.03
1000,0.05
5000,0.18
10000,0.25
20000,0.27
30000,0.30
35000,0.34
40000,0.37
45000,0.38
