neighbors,time_in_sec
1,0.02
10,0.02
100,0.02
1000,0.03
5000,0.08
10000,0.14
20000,0.27
30000,0.43
35000,0.50
40000,0.57
45000,0.64
1,0.02
10,0.02
100,0.03
1000,0.03
5000,0.08
10000,0.16
20000,0.27
30000,0.44
35000,0.51
40000,0.56
45000,0.63
1,0.02
10,0.02
100,0.02
1000,0.03
5000,0.08
10000,0.17
20000,0.28
30000,0.44
35000,0.51
40000,0.57
45000,0.65
