neighbors,time_in_sec
1,0.02
10,0.03
100,0.03
1000,0.21
5000,0.78
10000,0.89
20000,0.89
30000,0.96
35000,1.00
40000,0.97
45000,1.07
1,0.03
10,0.04
100,0.03
1000,0.16
5000,0.81
10000,0.98
20000,0.89
30000,0.91
35000,0.99
40000,1.05
45000,1.02
1,0.03
10,0.03
100,0.04
1000,0.19
5000,0.81
10000,0.91
20000,0.94
30000,0.92
35000,1.03
40000,1.01
45000,1.08
