neighbors,time_in_sec
1,0.56
10,0.56
100,0.66
1000,0.90
5000,1.28
10000,1.57
1,0.53
10,0.61
100,0.67
1000,0.91
5000,1.26
10000,1.69
1,0.54
10,0.56
100,0.64
1000,0.85
5000,1.27
10000,1.65
