neighbors,time_in_sec
1,0.44
10,0.47
100,0.57
1000,0.82
5000,1.17
10000,1.50
1,0.44
10,0.45
100,0.53
1000,0.82
5000,1.27
10000,1.64
1,0.46
10,0.43
100,0.53
1000,0.80
5000,1.15
10000,1.48
