records,time_in_sec
1000,32.62
17730,551.35
143,8.41
1000,32.83
1170,39.26
5985,162.27
2000,54.63
1000,32.41
15,5.58
17730,483.93
1000,34.37
17730,568.01
143,8.08
1000,29.70
1170,39.13
5985,168.46
2000,57.85
1000,30.43
15,4.79
17730,493.75
1000,37.76
17730,584.23
143,8.04
1000,50.77
1170,39.68
5985,174.79
2000,87.73
1000,74.77
15,4.59
17730,580.28
