records,time_in_sec
1000,174.62
17730,3095.91
143,28.37
1000,175.79
1170,194.59
5985,1015.82
2000,345.55
1000,175.48
15,8.04
17730,3134.36
1000,170.53
17730,3001.20
143,31.08
1000,174.73
1170,198.15
5985,980.92
2000,328.43
1000,176.11
15,6.56
17730,3196.54
1000,183.57
17730,3080.69
143,28.62
1000,175.08
1170,210.55
5985,1009.05
2000,340.49
1000,171.56
15,7.88
17730,3104.02
