records,time_in_sec
1000,23.48
17730,348.05
143,7.05
1000,21.80
1170,29.11
5985,112.53
2000,38.70
1000,22.20
15,4.71
17730,328.52
1000,24.72
17730,359.53
143,6.98
1000,22.87
1170,29.16
5985,119.06
2000,42.19
1000,23.99
15,3.57
17730,338.64
1000,24.96
17730,354.56
143,6.80
1000,23.04
1170,29.32
5985,116.56
2000,39.66
1000,24.51
15,3.85
17730,342.45
