records,time_in_sec
1000,190.51
17730,3343.47
143,32.10
1000,192.52
1170,222.76
5985,1105.12
2000,370.85
1000,188.69
15,6.65
17730,3204.09
1000,191.67
17730,3320.04
143,27.89
1000,184.87
1170,209.29
5985,1037.49
2000,359.50
1000,178.71
15,6.39
17730,318.40
1000,194.97
17730,3320.87
143,32.96
1000,190.95
1170,211.86
5985,1113.43
2000,363.56
1000,189.68
15,8.06
17730,3221.16
