records,time_in_sec
1000,28.95
17730,410.31
143,8.35
1000,28.72
1170,31.41
5985,135.67
2000,51.42
1000,28.75
15,6.64
17730,399.36
1000,28.82
17730,423.08
143,7.48
1000,28.07
1170,32.35
5985,133.81
2000,48.99
1000,28.50
15,4.81
17730,396.57
1000,30.53
17730,457.45
143,7.19
1000,30.85
1170,36.34
5985,156.78
2000,52.43
1000,29.40
15,5.83
17730,426.11
